indicador_id,indicador,variable_id,variable,polaridad,municipio_id,municipio,anio_anterior,valor_anterior,anio_reciente,valor_reciente,cambio_porcentual,cambio_ajustado,lectura_dss
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,41,Cuautlancingo,2015,93.8691,2020,94.9847,1.1884635092911,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,42,"Cuayuca de Andrade",2015,95.4883,2020,96.6192,1.1843335780405,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,43,"Cuetzalan del Progreso",2015,91.419,2020,93.9102,2.7250352771306,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,44,Cuyoaco,2015,88.7954,2020,92.2922,3.9380418355005,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,45,"Chalchicomula de Sesma",2015,89.738,2020,92.5514,3.1351267021775,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,46,Chapulco,2015,92.1666,2020,92.5047,0.36683570838026,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,47,Chiautla,2015,92.5208,2020,96.7806,4.6041538767499,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,48,Chiautzingo,2015,90.7699,2020,90.9296,0.17593938078591,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,49,Chiconcuautla,2015,94.0391,2020,94.9092,0.92525343181718,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,50,Chichiquila,2015,88.2873,2020,97.6367,10.589745070922,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,51,Chietla,2015,92.7795,2020,94.4751,1.8275588896254,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,52,Chigmecatitlán,2015,78.2132,2020,78.9396,0.92874348575432,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,53,Chignahuapan,2015,95.3023,2020,93.7613,-1.6169599264656,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,54,Chignautla,2015,90.8578,2020,92.5701,1.8845932875328,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,55,Chila,2015,91.2325,2020,90.7658,-0.51155016030472,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,56,"Chila de la Sal",2015,89.9582,2020,93.1085,3.5019597991067,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,57,Honey,2015,91.7277,2020,92.0448,0.34569710131181,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,58,Chilchotla,2015,95.9843,2020,98.2256,2.3350693811384,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,59,Chinantla,2015,88.7001,2020,94.3989,6.4247954624628,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,60,"Domingo Arenas",2015,88.6375,2020,92.3373,4.1740798194895,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,61,Eloxochitlán,2015,89.2096,2020,95.6569,7.227136989741,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,62,Epatlán,2015,95.3945,2020,95.9952,0.6297008737401,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,63,Esperanza,2015,92.9639,2020,92.3909,-0.61636828919612,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,64,"Francisco Z. Mena",2015,100.3965,2020,98.9952,-1.395765788648,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,65,"General Felipe Ángeles",2015,89.4781,2020,93.7671,4.7933516692911,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,66,Guadalupe,2015,86.0653,2020,87.6382,1.8275658133998,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,67,"Guadalupe Victoria",2015,92.8327,2020,96.1775,3.6030407388776,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,68,"Hermenegildo Galeana",2015,95.5048,2020,92.981,-2.642589691827,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,69,Huaquechula,2015,89.0983,2020,89.4188,0.35971505629177,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,70,Huatlatlauca,2015,82.0986,2020,83.679,1.9250023751928,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,71,Huauchinango,2015,88.7576,2020,88.5539,-0.22950147367662,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,72,Huehuetla,2015,95.8646,2020,96.1419,0.28926214681959,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,73,"Huehuetlán el Chico",2015,95.0786,2020,96.4573,1.4500634212115,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,74,Huejotzingo,2015,93.706,2020,94.3406,0.67722451070368,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,75,Hueyapan,2015,89.4389,2020,91.7607,2.5959621596419,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,76,Hueytamalco,2015,94.0039,2020,97.1006,3.294225026834,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,77,Hueytlalpan,2015,95.6243,2020,96.5973,1.0175237884094,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,78,"Huitzilan de Serdán",2015,98.8147,2020,103.267,4.505706134816,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,79,Huitziltepec,2015,91.7559,2020,93.7018,2.1207355603291,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,80,Atlequizayan,2015,89.2171,2020,87.4021,-2.0343633675607,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,81,"Ixcamilpa de Guerrero",2015,90.1151,2020,92.017,2.1105230976828,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,82,Ixcaquixtla,2015,89.0281,2020,90.9347,2.1415710320674,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,83,Ixtacamaxtitlán,2015,94.9264,2020,97.3268,2.5286959159939,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,84,Ixtepec,2015,93.6424,2020,94.1341,0.52508265486575,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,85,"Izúcar de Matamoros",2015,88.078,2020,91.4305,3.8062853379959,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,86,Jalpan,2015,89.8004,2020,90.2732,0.52650099554123,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,87,Jolalpan,2015,93.6817,2020,93.1495,-0.56809387532464,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,88,Jonotla,2015,95.571,2020,95.0547,-0.54022663778761,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,89,Jopala,2015,95.2773,2020,92.1286,-3.3047745895402,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,90,"Juan C. Bonilla",2015,89.5558,2020,93.232,4.1049267607458,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,91,"Juan Galindo",2015,85.4069,2020,86.525,1.3091448114848,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,92,"Juan N. Méndez",2015,97.4144,2020,93.3163,-4.2068729058538,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,93,Lafragua,2015,96.3084,2020,94.1132,-2.279344273189,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,94,Libres,2015,94.1832,2020,94.452,0.28540121805163,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,95,"La Magdalena Tlatlauquitepec",2015,105.7018,2020,99.3865,-5.9746380856334,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,96,"Mazapiltepec de Juárez",2015,98.0378,2020,96.1705,-1.9046735034854,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,97,Mixtla,2015,89.9837,2020,90.8441,0.95617317358588,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,98,Molcaxac,2015,89.2729,2020,90.7868,1.6958113828497,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,99,"Cañada Morelos",2015,92.6454,2020,92.2125,-0.46726550913482,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,100,Naupan,2015,90.8169,2020,86.5731,-4.6729188069621,,sin_clasificar
3,"Relación hombres-mujeres",48,"Relación hombres-mujeres",neutro,101,Nauzontla,2015,88.6598,2020,86.9786,-1.8962370770067,,sin_clasificar
